"time","trans_flag","des_cont_state_fl","des_cont_state_fr","des_cont_state_rl","des_cont_state_rr","cont_state_fl","cont_state_fr","cont_state_rl","cont_state_rr","vel_cmd_x","vel_cmd_y","vel_cmd_yaw","base_vel_x","base_vel_y","base_vel_z","base_vel_roll","base_vel_pitch","base_vel_yaw","gait_id","base","CoT","musculoskeletal","foot_force","MWE","WEXT","stability","FL_stride_t","FR_stride_t","RL_stride_t","RR_stride_t"
0.01400000000001,0,1,1,1,1,1,1,1,1,0,0,0,-0.005041785071531,-0.001689022543599,0.001043932197317,-0.009125040844083,-0.001644002390094,-0.002221011789516,0,0.001790363880929,0,0.014848484848485,36.09,4.60198459296891,6.71983399927039,0,0,0,0,0
0.024000000000001,0,1,1,1,1,1,1,1,1,0,0,0,-0.003556015797146,0.001250843079157,0.001103558288456,-0.002922725622761,-0.000881616821181,0.001740555463303,0,0.007599477267614,0,0.074059840758221,180.415888937737,0.002840343339076,33.5964627775068,0,0,0,0,0
0.034000000000049,0,1,1,1,1,1,1,1,1,0,0,0,-0.000748508268846,0.004014092542052,0.022136635726588,0.002434762398635,0.003546701753528,-0.000377061722218,0,0.006425288785848,0,0.106526006573541,180.634821131576,0.025677486993472,33.603790764021,0,0,0,0,0
0.04400000000004,0,1,1,1,1,1,1,1,1,0,0,0,-0.012755571539955,-0.000112514104293,0.073506722502244,0.019534731089261,0.068583008356621,-0.006363710453186,0,0.011501589832827,0,0.15431048520969,194.403410046154,0.113525753564002,33.6952161332179,0,0,0,0,0
0.054000000000031,0,1,1,1,1,1,1,1,1,0,0,0,-0.028441879952425,-0.006983106767341,0.055284813026907,-0.000442072945988,0.124728293973641,0.004082250395226,0,0.031590625636176,0,0.138332163756231,216.596922276436,0.110684865491753,33.8090007556234,0,0,0,0,0
0.064000000000021,0,1,1,1,1,1,1,1,1,0,0,0,-0.014228995281635,-0.008615102860067,0.053837604349771,0.007486742675737,0.10879371065231,0.015586685992983,0,0.042462598816153,0,0.132540624388172,198.642270109988,0.069909162655806,33.9018469283059,0,0,0,0,0
0.074000000000012,0,1,1,1,1,1,1,1,1,0,0,0,0.013394357231692,-0.003113880135096,0.062085245778221,0.113898325472451,0.054142450120135,0.020243599993351,0,0.028408557206819,0,0.147150916759669,180.968394022055,0.069729497403346,33.9616186895722,0,0,0,0,0
0.084000000000003,0,1,1,1,1,1,1,1,1,0,0,0,0.021980656556128,-0.004092467168036,0.058193601571975,0.136028130490497,0.021474267948935,0.027475781551874,0,0.049034661065991,0,0.134847262810878,181.777106444657,0.041287067499789,34.0265081585066,0,0,0,0,0
0.093999999999994,0,1,1,1,1,1,1,1,1,0,0,0,0.019921000521624,-0.005259750406224,0.045056748078725,0.019059778082724,0.03445253591388,-0.00166934982139,0,0.039196488405066,0,0.126134505884452,173.644746066308,0.033404150110892,34.0544339896667,0,0,0,0,0
0.104000000000042,0,1,1,1,1,1,1,1,1,0,0,0,0.021744694086814,-0.003899913716936,0.041180863582812,0.012705220588848,0.084082902453288,-0.023052377125461,0,0.043619065097754,0,0.131111106349365,165.573376600244,0.046331177654169,34.0966492243745,0,0,0,0,0
0.114000000000033,0,1,1,1,1,1,1,1,1,0,0,0,0.031058823883902,-0.004322967344227,0.038541756925567,0.031079167309787,0.106589254492421,-0.044064315754576,0,0.063533366666603,0,0.131736207472422,171.387796646637,0.035347872553114,34.1532333711034,0,0,0,0,0
0.124000000000024,0,1,1,1,1,1,1,1,1,0,0,0,0.039209637851774,-0.002959886817198,0.038889635247016,-0.010618677590416,0.121410714077711,-0.061737275150236,0,0.097762291252206,0,0.131606177779074,176.031384817748,0.026142247210902,34.2140574390127,0,0,0,0,0
0.134000000000015,0,1,1,1,1,1,1,1,1,0,0,0,0.044554078651966,-0.001472366511243,0.037894865588143,-0.007669392073916,0.120973062393546,-0.055986843258826,0,0.104521165459085,0,0.13544837832505,175.506963684886,0.03679067715705,34.2560314230621,0,0,0,0,0
0.144000000000005,0,1,1,1,1,1,1,1,1,0,0,0,0.049061081639563,3.8260059918454E-05,0.035260351637348,0.015133807698013,0.114806885506508,-0.027483908175382,0,0.088869969924554,0,0.133319249903811,173.923640931692,0.048370225962158,34.2829319590466,0,0,0,0,0
0.153999999999996,0,1,1,1,1,1,1,1,1,0,0,0,0.054853523281881,0.001343609684368,0.031438709413293,0.006174961110328,0.116096238098041,-0.007942240182943,0,0.066489805143519,0,0.131884050971247,173.763229602028,0.033894113834766,34.3112501107447,0,0,0,0,0
0.164000000000044,0,1,1,1,1,1,1,1,1,0,0,0,0.058261009471226,0.002858213557742,0.02998876949769,0.011815979899267,0.100133021458588,0.023885292896797,0,0.071340469996394,0,0.130083034753829,173.339674437276,0.022214781061813,34.3448782371439,0,0,0,0,0
0.174000000000035,0,1,1,1,1,1,1,1,1,0,0,0,0.05859230637413,0.004165570134633,0.025501267243591,0.015368954946179,0.096738020368161,0.035352393204831,0,0.091952869641915,0,0.131534616438128,170.461659863133,0.016069500296149,34.3729599638251,0,0,0,0,0
0.184000000000026,0,1,1,1,1,1,1,1,1,0,0,0,0.057652664268355,0.004604305446705,0.019421640564951,-0.012539939970156,0.088043240193045,0.027395725850313,0,0.098176004649114,0,0.128950110415016,168.461653691373,0.022834609333113,34.39520757188,0,0,0,0,0
0.194000000000017,0,1,1,1,1,1,1,1,1,0,0,0,0.055801599553929,0.005425111168605,0.018402333526201,0.006706305620477,0.088495669719593,0.011930490160185,0,0.078602654123734,0,0.129754779094099,169.516226061203,0.025416746811532,34.4081589070306,0,0,0,0,0
