vel_cmd_x,vel_cmd_y,vel_cmd_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,failed
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.0,1
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
1.0,0.0,-0.8,0.12269794715017825,0.11636279571122898,0.22330640971377366,0.6177386623654679,0.7043263665020913,0.12910584144590173,0.3681665843073087,21.946666666666665,3.0,0
1.0,0.0,-0.4,0.09625525575786269,0.08113623543780392,0.22578490513716065,0.4664555110192131,0.6315111590732416,0.072446865506491,0.24983835670215704,11.206666666666667,0.0,0
1.0,0.0,-0.4,0.0899862548522436,0.0656574820338638,0.21658720506329693,0.4764834885236747,0.6517503136250652,0.07316639155672876,0.22881012844283646,12.32,1.0,0
1.0,0.0,-0.4,0.09715547718205517,0.05894787466120384,0.21086914207311486,0.4897371414559775,0.6703896449212178,0.08445002217054075,0.24055337401379914,15.533333333333333,2.0,0
1.0,0.0,-0.4,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
1.0,0.0,0.0,0.10173526932733357,0.019121897199583494,0.22143492891227481,0.40798189404980384,0.5775499124704528,0.04859647142905038,0.16945363795596696,10.626666666666667,0.0,0
1.0,0.0,0.0,0.09835327495639337,0.01938326315577966,0.21064142068024005,0.4481495233080988,0.6201683893550919,0.0492699925205275,0.16700653063270052,13.133333333333333,1.0,0
1.0,0.0,0.0,0.10960721251890512,0.017344311366726678,0.21140642853161962,0.48696386473029973,0.6331736905616101,0.06816109682414467,0.19511262070977645,14.86,2.0,0
1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
1.0,0.0,0.40000000000000013,0.10633610874532017,0.07463495346261569,0.21385046915068057,0.4313213915742874,0.6096694500120591,0.07916654472649277,0.260137606934428,11.753333333333334,0.0,0
1.0,0.0,0.40000000000000013,0.11055413035980914,0.05358825828611728,0.21255902088147466,0.48953596193007226,0.6447535712810404,0.0753512073470038,0.2394935959929303,13.96,1.0,0
1.0,0.0,0.40000000000000013,0.1056670902657468,0.06068011401382917,0.22354843322176907,0.5174685619230015,0.6497467486890398,0.09511430287483597,0.261461507154412,18.066666666666666,2.0,0
1.0,0.0,0.40000000000000013,0.11716235190248636,0.056109638805298706,0.23777489679382235,0.5511701404262801,0.7271126570757162,0.1008633584418687,0.27413534914965376,20.133333333333333,3.0,0
1.0,0.0,0.8,0.11114951248461052,0.13998298987736285,0.22028547083234432,0.4931302563880108,0.6262227762656366,0.13143092740029608,0.3825634297622704,13.966666666666667,0.0,0
1.0,0.0,0.8,0.11719889293984066,0.12124829512448804,0.20366399223003126,0.5428662694514701,0.7226708457096995,0.12482809732610661,0.36327528539043374,14.2,1.0,0
1.0,0.0,0.8,0.14038898325768107,0.10619740797823206,0.22348828956887282,0.5608867148342431,0.6805984952763208,0.16657136333417474,0.41315775457008697,16.546666666666667,2.0,0
1.0,0.0,0.8,0.13502992158204513,0.11449695007263588,0.2602267766025415,0.6671432388979427,0.8112414157847281,0.17025452973968563,0.41978140139436537,22.913333333333334,3.0,0
0.75,0.0,-0.8,0.08687800550578606,0.12002276007641542,0.21469223834777926,0.4541887086138875,0.6306912069438408,0.10587577771884547,0.312776543301047,13.353333333333333,0.0,0
0.75,0.0,-0.8,0.0876216056371054,0.10572148949918543,0.2196901264289663,0.49864237121948785,0.607340127249778,0.09621260582306161,0.28955570095935274,12.886666666666667,1.0,0
0.75,0.0,-0.8,0.08937835725502442,0.09921352728247887,0.22050836993564232,0.47450378181323305,0.5865971986816997,0.08498451291675306,0.27357639745425616,14.94,2.0,0
0.75,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
0.75,0.0,-0.4,0.07779576326392502,0.06669071059504263,0.22451699186882176,0.4068406685104318,0.5530594266978012,0.06338393364324042,0.2078704075022074,10.36,0.0,0
0.75,0.0,-0.4,0.08959963529253305,0.049202035039905445,0.2181341522906003,0.46019631523991866,0.5643676498862267,0.06543604315935106,0.204237713491789,13.1,1.0,0
0.75,0.0,-0.4,0.08460741187416974,0.04198931787979276,0.23044060678303627,0.399459297826384,0.5891210909342067,0.07238852611394236,0.1989852558679046,12.466666666666667,2.0,0
0.75,0.0,-0.4,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
0.75,0.0,0.0,0.07789979125759937,0.018441521372752605,0.22504768896163876,0.36756381066192445,0.5299553553992715,0.04439237961836363,0.14073369224871568,10.9,0.0,0
0.75,0.0,0.0,0.08711342202491477,0.012081798073565795,0.23706513085949873,0.4312499662635221,0.5576454028728948,0.053131674728249124,0.15232689482673037,12.213333333333333,1.0,0
0.75,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
0.75,0.0,0.0,0.08207986350735422,0.020855920823390415,0.22836798638881656,0.4804027626916657,0.5770719622559626,0.06791580576216408,0.17085159009290862,17.566666666666666,3.0,0
0.75,0.0,0.40000000000000013,0.08271574899784148,0.055667739486048556,0.2149186909750114,0.3944276573241632,0.581490431596282,0.07168970808320865,0.21007319656709897,11.586666666666666,0.0,0
0.75,0.0,0.40000000000000013,0.07845698842970583,0.04217453194106382,0.2199138346089686,0.43285565193313164,0.5838050142200231,0.07178942323705625,0.1924209436078266,12.16,1.0,0
0.75,0.0,0.40000000000000013,0.08712752339930017,0.038078415270197855,0.22693764126879215,0.5021552791184056,0.6071805982026118,0.0698476660579643,0.19505360472746203,16.746666666666666,2.0,0
0.75,0.0,0.40000000000000013,0.09333671273595073,0.03542503179365185,0.2159676191677166,0.47475215618274785,0.6608524282280279,0.08407589980865351,0.21283764433825564,18.133333333333333,3.0,0
0.75,0.0,0.8,0.08763384934301836,0.12089301776902939,0.2012124200950539,0.46109549031776187,0.6454304437859677,0.08789689162658652,0.2964237587386332,14.206666666666667,0.0,0
0.75,0.0,0.8,0.0859414973783991,0.09142360427360283,0.21164456218752367,0.49557624549924384,0.6829694215542002,0.08637594680689095,0.26374104845889335,14.066666666666666,1.0,0
0.75,0.0,0.8,0.11180055144767846,0.08990820252313465,0.19331949003220827,0.5209346153910833,0.6135239740851353,0.08322795377306011,0.284936707743873,14.94,2.0,0
0.75,0.0,0.8,0.10871377859525214,0.08679692980938367,0.22051393174646977,0.5841931351732388,0.6730765026016652,0.11914769162074527,0.3146584000253809,20.58,3.0,0
0.5,0.0,-0.8,0.07427926605742864,0.09227105170331518,0.19929750876265753,0.38943856216117045,0.5370573922664877,0.07094458988375088,0.23749490764449532,11.493333333333334,0.0,0
0.5,0.0,-0.8,0.07916211614638555,0.05915590008090024,0.19164155669354585,0.4545458696864586,0.5584022388300169,0.07092922904646824,0.20924724527375396,12.773333333333333,1.0,0
0.5,0.0,-0.8,0.08913799737523295,0.06284069457000309,0.21055432485445633,0.45581823433126906,0.5532520608942447,0.06552344594948563,0.2175021378947217,14.613333333333333,2.0,0
0.5,0.0,-0.8,0.08405255066978068,0.0766406208857265,0.21230296911641863,0.531361352411077,0.6005637100641179,0.08117741934568344,0.24187059090118979,19.366666666666667,3.0,0
0.5,0.0,-0.4,0.06408542127068949,0.044907542385601885,0.21263784086404378,0.36697429641540313,0.5473107895268984,0.04916580923167241,0.1581587728879628,10.206666666666667,0.0,0
0.5,0.0,-0.4,0.0758822834643807,0.03534207562874427,0.2080141856157612,0.3998665015927249,0.566537922915881,0.051379534260084486,0.1626038933532091,12.346666666666666,1.0,0
0.5,0.0,-0.4,0.06985503199912038,0.03108617950284439,0.2305429986598545,0.40921251538302594,0.5733279853482689,0.06213893502277473,0.16308014652473876,15.386666666666667,2.0,0
0.5,0.0,-0.4,0.0809807933989096,0.047839264694238486,0.2326635612000007,0.5223194986666867,0.576828262992743,0.0839023921972987,0.21272245029044706,20.173333333333332,3.0,0
0.5,0.0,0.0,0.06359321760513792,0.0205741925867468,0.2215541639463534,0.32586715750402095,0.5051779887601382,0.03739865145579171,0.12156606164767642,9.993333333333334,0.0,0
0.5,0.0,0.0,0.08024021803577719,0.012450068509779864,0.21675544456829346,0.37860252379360226,0.5241480330872852,0.042892155427167226,0.13558244197272448,12.286666666666667,1.0,0
0.5,0.0,0.0,0.08047858615536373,0.017078233868471626,0.23156367966710964,0.46968088799029406,0.5815377873479654,0.054718050281492084,0.15227487030532796,16.606666666666666,2.0,0
0.5,0.0,0.0,0.08093521149795765,0.019075182520783048,0.23687914667743507,0.44685153015369417,0.5732762360739044,0.055706725160582615,0.1557171191793233,19.006666666666668,3.0,0
0.5,0.0,0.40000000000000013,0.07128528673571473,0.04104478505441679,0.2093102126397215,0.3657465263808255,0.5330579099613765,0.0569216912772077,0.16925176306733877,11.0,0.0,0
0.5,0.0,0.40000000000000013,0.0853993434986696,0.031635500056586933,0.21830117834853963,0.3812448999900096,0.5144872368334598,0.060755748732507046,0.17779059228776375,11.246666666666666,1.0,0
0.5,0.0,0.40000000000000013,0.07767599388435974,0.035839478002582074,0.22235050353219638,0.46045621334432474,0.5778827702183639,0.06747709395287586,0.1809925658398172,14.3,2.0,0
0.5,0.0,0.40000000000000013,0.08738090054567503,0.034495218037414586,0.22774404410627339,0.4920220096284562,0.5819690422440166,0.07367203653324979,0.19554815511633894,20.72,3.0,0
0.5,0.0,0.8,0.07329455379118753,0.07863483964235558,0.18981142301694473,0.4260669574794434,0.5664950724359209,0.060167107434748596,0.2120965008682919,13.1,0.0,0
0.5,0.0,0.8,0.08317233086215525,0.06857930298369706,0.19873435655175148,0.45977229870021863,0.5251926733580286,0.060650829727161994,0.2124024635730141,13.653333333333334,1.0,0
0.5,0.0,0.8,0.08804590356482257,0.06361719637964201,0.18679526372340585,0.44329948078193804,0.5466747578670229,0.06628331442619588,0.21794641437066103,15.226666666666667,2.0,0
0.5,0.0,0.8,0.08073933869798537,0.07258840308646393,0.20768148726170055,0.4727560063864061,0.5937802052899134,0.08019875524418199,0.23352649702863093,20.553333333333335,3.0,0
0.25,0.0,-0.8,0.07001475822623142,0.0519684976651596,0.19624082392534561,0.3652717114649899,0.4981155545629686,0.05437713979932027,0.1763603956907107,10.713333333333333,0.0,0
0.25,0.0,-0.8,0.06313459213146896,0.025517738892681528,0.2018774875822785,0.4780086915580443,0.5157777074315072,0.0680454032601449,0.15669773428429554,12.34,1.0,0
0.25,0.0,-0.8,0.06969081956908635,0.028991240536253585,0.20700516465387536,0.4993213613322653,0.5099414108508955,0.06569907126298573,0.16438113136832547,14.12,2.0,0
0.25,0.0,-0.8,0.0973519463666411,0.03640055600475483,0.22642831136617692,0.47326051612888964,0.5370150989780167,0.07637351244787592,0.21012601481927204,18.926666666666666,3.0,0
0.25,0.0,-0.4,0.06530644091952642,0.025602351309932016,0.2085991234826247,0.30906028444911443,0.47867750965739864,0.048232268261999695,0.13914106049145816,10.513333333333334,0.0,0
0.25,0.0,-0.4,0.06447122012180688,0.0201201121422628,0.2088054268441571,0.38630869284454783,0.49925268906216,0.05034866795870115,0.13494000022277136,11.953333333333333,1.0,0
0.25,0.0,-0.4,0.0666961673865922,0.01715060084354185,0.21679979475551378,0.45492137504629077,0.504564408013357,0.05549990162409645,0.1393466698542304,13.613333333333333,2.0,0
0.25,0.0,-0.4,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
0.25,0.0,0.0,0.059331871357679984,0.01601510361618768,0.21240488962464324,0.29075224565658575,0.4784936135691773,0.0356486020680643,0.11099557704193193,10.986666666666666,0.0,0
0.25,0.0,0.0,0.06595989568382084,0.01541851636078467,0.20427207092004993,0.34537749617883823,0.4969397723506857,0.04199036434789035,0.12336877639249573,12.1,1.0,0
0.25,0.0,0.0,0.07541030298362256,0.015247372766133204,0.22554985111824005,0.3926300265117672,0.4696818625041511,0.043134546441289556,0.1337922221910449,12.786666666666667,2.0,0
0.25,0.0,0.0,0.06212514235960123,0.01774767712386454,0.21905882835389567,0.3565062947396567,0.4334161641324615,0.05783236922659223,0.13770518871005813,18.573333333333334,3.0,0
0.25,0.0,0.40000000000000013,0.06159571754860753,0.027421642786545804,0.21064293886919913,0.31945732473586586,0.4792471171851246,0.048376275345055224,0.1373936356802086,11.226666666666667,0.0,0
0.25,0.0,0.40000000000000013,0.06808463807816581,0.022026028368323132,0.21202409199633915,0.3555976571162097,0.5052479619508314,0.0526499004753423,0.14276056692183134,12.6,1.0,0
0.25,0.0,0.40000000000000013,0.0745770726597299,0.026787405725149604,0.21471693810874956,0.40304466226321917,0.49462694266292456,0.05542173619280145,0.15678621457768052,14.8,2.0,0
0.25,0.0,0.40000000000000013,0.07863393097972712,0.032161525713375896,0.23035469279410947,0.4391633348470547,0.45222823009910273,0.08259865235849734,0.19339410905160037,20.66,3.0,0
0.25,0.0,0.8,0.06515519359817601,0.04016001862900627,0.19748884476817538,0.38550905339861863,0.4797113333105119,0.058772341105616265,0.16408755333279812,11.233333333333333,0.0,0
0.25,0.0,0.8,0.06514298569566018,0.039722449603452684,0.20165825870471366,0.4301044036624706,0.4791905517624171,0.06184456885225217,0.1667100041513657,11.48,1.0,0
0.25,0.0,0.8,0.08524130374830963,0.04823427315734151,0.19238931080217211,0.46286118504355195,0.5299802839900668,0.07443839518651711,0.20791397209216841,16.266666666666666,2.0,0
0.25,0.0,0.8,0.07333417302198876,0.04316099346989677,0.2046548870850326,0.44231434942332054,0.5300391183188531,0.0660540632667086,0.1825492297585941,19.066666666666666,3.0,0
0.0,0.0,-0.8,0.06929921747787057,0.012747180158286762,0.22137286834101946,0.3412972029946746,0.4932994980049593,0.06870040772617911,0.15074680536233612,12.34,0.0,0
0.0,0.0,-0.8,0.07297929038714004,0.014131916494008433,0.22537898115146626,0.41748259801787574,0.5214156891779151,0.06517018360543621,0.15228139048658454,13.34,1.0,0
0.0,0.0,-0.8,0.07401543993414779,0.014353933090899692,0.23350707016422756,0.43901298602077976,0.5210392076253467,0.06835797050728538,0.15672734353233297,15.38,2.0,0
0.0,0.0,-0.8,0.09886276764083654,0.01771500832979026,0.24828075616053497,0.4896091821255317,0.5382002696601006,0.10306513247030927,0.21964290844093637,21.36,3.0,0
0.0,0.0,-0.4,0.06585997973406973,0.014572055444491661,0.21390525063568144,0.3401586812732159,0.4741655518595928,0.059387882744576403,0.13981991792313792,11.94,0.0,0
0.0,0.0,-0.4,0.07531757164306913,0.015850677812917015,0.21925572205685226,0.4155393403012188,0.5007630159356147,0.07425476172816037,0.16542301118414657,13.926666666666666,1.0,0
0.0,0.0,-0.4,0.07391692407349533,0.01355421333059619,0.2105070814504512,0.4143889064197741,0.4856620106613944,0.061289491754639394,0.1487606291587314,14.66,2.0,0
0.0,0.0,-0.4,0.07937182880707168,0.01487600144166827,0.2235316611896202,0.4550370985039973,0.5138874904159972,0.07275158402433723,0.1669994142730767,21.16,3.0,0
0.0,0.0,0.0,0.06026508438055209,0.013255651614381126,0.22063379612468562,0.2933439275054257,0.42954359603185904,0.03789045282784647,0.11141118882277971,10.82,0.0,0
0.0,0.0,0.0,0.059308927122856875,0.018994658732795947,0.19925838478721866,0.3729468553521136,0.4803247503520803,0.04150247709893314,0.11980606295458605,11.24,1.0,0
0.0,0.0,0.0,0.056599317836631344,0.014610089836713141,0.21586774040900342,0.42050741022491117,0.5092712898141444,0.04132851511684422,0.11253792279018857,15.113333333333333,2.0,0
0.0,0.0,0.0,0.058896346935177916,0.020945577800311404,0.2283645823791655,0.44545031388581985,0.4911742301609082,0.04909635468676611,0.12893827942225564,18.9,3.0,0
0.0,0.0,0.40000000000000013,0.06088637108709257,0.021934572068606165,0.22217620301534233,0.34682627680811307,0.4680781709190721,0.04351845579165858,0.12633939894735743,11.166666666666666,0.0,0
0.0,0.0,0.40000000000000013,0.06715708666570586,0.015079836358544312,0.212019557539598,0.36589903832633197,0.45053119330416325,0.06076777506915402,0.14300469809340446,12.846666666666666,1.0,0
0.0,0.0,0.40000000000000013,0.06349846010408355,0.01939062776969874,0.22735568928784788,0.3869234225681876,0.4685511606820775,0.06435775616531428,0.14724684403909655,15.673333333333334,2.0,0
0.0,0.0,0.40000000000000013,0.07090317391295063,0.021222645093972734,0.21382214324325113,0.44437757231591124,0.5501157509678932,0.05937812537135518,0.151503944378279,19.686666666666667,3.0,0
0.0,0.0,0.8,0.06946926504792612,0.017065071565501747,0.21156409843645585,0.43312040542889735,0.544589302756861,0.062299968900537926,0.14883430551396595,12.033333333333333,0.0,0
0.0,0.0,0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1
0.0,0.0,0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
0.0,0.0,0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.0,1
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1
1.0,0.0,-0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
1.0,0.0,-0.8,0.1365239049226238,0.12331103672858029,0.20832820655994821,0.6660324929073755,0.7336444486930557,0.1319852759711167,0.39182021762232155,22.06,3.0,0
1.0,0.0,-0.4,0.0920801592586587,0.09320034231012615,0.22948933019466844,0.4529959754006781,0.6104648313096268,0.07408577418234939,0.2593662757511344,11.146666666666667,0.0,0
1.0,0.0,-0.4,0.09149043316801025,0.0657829309943457,0.21648879619414402,0.47243471905154705,0.6637540164904654,0.07296479557600051,0.23023815973835618,12.273333333333333,1.0,0
1.0,0.0,-0.4,0.09601908235229391,0.05983217456094102,0.21547072423902527,0.497703739355795,0.6407253247278488,0.08617661547546156,0.24202787238869686,16.64666666666667,2.0,0
1.0,0.0,-0.4,0.10143445381092675,0.07053689123394118,0.22786750862626187,0.5130505012753044,0.7299971602693043,0.10141361626963669,0.2733849613145051,20.66,3.0,0
1.0,0.0,0.0,0.0990421553223369,0.015605839808579583,0.2203488567714342,0.406832114251272,0.5570773047830576,0.050058636731362814,0.1647066318622791,10.86,0.0,0
1.0,0.0,0.0,0.10084936524193011,0.013908379607764188,0.21066337670406673,0.45501686522473833,0.6005797943965173,0.052527467981002655,0.16728521283069744,13.653333333333334,1.0,0
1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
1.0,0.0,0.0,0.10610638485239342,0.017397822481694764,0.23290911123423277,0.5014110577608678,0.6643612804454138,0.07318309175504915,0.19668729908913707,18.593333333333334,3.0,0
1.0,0.0,0.40000000000000013,0.1058164309211792,0.06143015204579226,0.21018505385242314,0.42894482707526377,0.6161464338045783,0.0747680690260869,0.24201465199305794,11.76,0.0,0
1.0,0.0,0.40000000000000013,0.11077602656742423,0.051081185715687406,0.22013378631421662,0.4861200189304416,0.6376357074394525,0.07573857229379949,0.23759578457691133,14.033333333333333,1.0,0
1.0,0.0,0.40000000000000013,0.10013394697749019,0.05428672537815227,0.22548550766482958,0.45212205077143885,0.6686588558823455,0.09552686784155853,0.24994754019720075,16.1,2.0,0
