vel_cmd_x,vel_cmd_y,vel_cmd_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,failed
1.0,0.0,-0.8,0.14135310361465359,0.038209764737898264,0.204328379036951,0.3840624238894383,0.6543443949824929,0.07267854305603778,0.2522414114085909,16.62,0.0,0
1.0,0.0,-0.8,0.152952513605544,0.04616478409807639,0.19889428708921605,0.4647019421797206,0.6784986991738597,0.08058575826750662,0.2797030559711266,21.633333333333333,1.0,0
1.0,0.0,-0.8,0.2596042694448596,0.07851155738753796,0.250967520346833,0.653208094654754,0.7697565266921811,0.1361695161289792,0.47428534296137653,27.466666666666665,2.0,0
1.0,0.0,-0.8,0.15204159879158027,0.04700466395350547,0.21448119716018924,0.46346857346460724,0.688783282257167,0.08837034369223017,0.2874166064373154,23.706666666666667,3.0,0
1.0,0.0,-0.4,0.13724931610063618,0.02091641197063398,0.19344536824555514,0.3730357952740709,0.6807268278687542,0.05757976395571163,0.2157454920269823,15.926666666666666,0.0,0
1.0,0.0,-0.4,0.1599125449582514,0.0306933852625085,0.20204975239294554,0.380505929165029,0.6455683016665226,0.05996645070206987,0.2505723809228306,18.80666666666667,1.0,0
1.0,0.0,-0.4,0.13143833824129483,0.04807750409628148,0.22325106338071224,0.5301246357426749,0.6847681008981737,0.08620486244816113,0.265720704785737,21.4,2.0,0
1.0,0.0,-0.4,0.15925551963157455,0.048085612530435716,0.19783820068519273,0.5095688505667446,0.6472157359212986,0.08609333552631897,0.29343446768832876,24.726666666666667,3.0,0
1.0,0.0,0.0,0.1274030091338839,0.022980628087182868,0.17904938482693,0.37977000675754197,0.6917094287547373,0.05687908507263101,0.2072627222936978,14.453333333333333,0.0,0
1.0,0.0,0.0,0.14671935508773415,0.02396457474815519,0.18774948396666027,0.420286988818427,0.746942504077998,0.07937405951137456,0.25005798934726425,18.746666666666666,1.0,0
1.0,0.0,0.0,0.13557889645781954,0.04439238281948448,0.18272262733459393,0.48142717191393103,0.7427005702009287,0.09546864516696002,0.27543992444426413,22.173333333333332,2.0,0
1.0,0.0,0.0,0.1261320982082417,0.03790669812030855,0.19301355753176772,0.5157305489113062,0.6368663785882896,0.09035521383840919,0.25439401016696006,20.393333333333334,3.0,0
1.0,0.0,0.40000000000000013,0.12868999257896518,0.017385025163384082,0.17505329994688476,0.3932088077186435,0.7312345442347611,0.07475395563439693,0.22082897337674692,15.873333333333333,0.0,0
1.0,0.0,0.40000000000000013,0.135602535562616,0.026717139384376073,0.17365610258714176,0.4058233223846477,0.7007305914380849,0.07596980768442173,0.23828948263141342,18.526666666666667,1.0,0
1.0,0.0,0.40000000000000013,0.12139647968688061,0.03474481074514657,0.1959342554052197,0.44332811871596917,0.7130098678718954,0.0868489998043437,0.24299029023637056,19.786666666666665,2.0,0
1.0,0.0,0.40000000000000013,0.18254824335892897,0.05470495469820985,0.20324406002623172,0.583545023783061,0.7765875827413642,0.13818458264028508,0.3754377806974243,28.3,3.0,0
1.0,0.0,0.8,0.11474721193119246,0.03658175127739759,0.17649321792826647,0.41819874338264496,0.6923454502281204,0.10650058984301651,0.2578295530516063,17.226666666666667,0.0,0
1.0,0.0,0.8,0.11692161241802244,0.027859784797440192,0.17159277402852782,0.4441233105668104,0.6694802424090937,0.09466363946524543,0.23944503668070855,19.30666666666667,1.0,0
1.0,0.0,0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,2.0,1
1.0,0.0,0.8,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,3.0,1
0.75,0.0,-0.8,0.11074087346524408,0.030947145415395352,0.20119372276851522,0.33609513176398287,0.6121685819447181,0.06090987609230181,0.20259789497294087,14.933333333333334,0.0,0
0.75,0.0,-0.8,0.10767991662992427,0.025305310412451893,0.21360406357630804,0.3637199590636344,0.64169799811947,0.07780035929215819,0.21078558633453476,17.30666666666667,1.0,0
0.75,0.0,-0.8,0.11641207394686344,0.04703241712238693,0.22152352295547795,0.4791782956884421,0.5897270024102309,0.10419638376493708,0.2676408748341873,22.3,2.0,0
0.75,0.0,-0.8,0.12363523025934835,0.049644667602171844,0.20126084300221173,0.5301125358761606,0.6652033354627399,0.11057256611973595,0.2838524639812566,25.88,3.0,0
0.75,0.0,-0.4,0.11422361331768854,0.021781366835342035,0.1876361054320199,0.3198553513676017,0.6333043915411758,0.05382697071527179,0.1898319508683017,14.266666666666667,0.0,0
0.75,0.0,-0.4,0.13486548642774607,0.028435546755049432,0.20126432918203876,0.3681835757287671,0.6215741032653461,0.05836111289833734,0.22166214608113233,17.526666666666667,1.0,0
0.75,0.0,-0.4,0.12845306737317835,0.03189527757741457,0.19512336172701644,0.3925809065235551,0.6231793981151144,0.06757131064409198,0.22791965559468558,18.206666666666667,2.0,0
0.75,0.0,-0.4,0.12031677657049361,0.03642109654238086,0.2156622250910691,0.4469197747782981,0.6110648998201736,0.0926600224219635,0.24939789553483818,21.246666666666666,3.0,0
0.75,0.0,0.0,0.13201373509413844,0.014933223958312395,0.17727006139843382,0.34560770488098885,0.6578633433630349,0.05157812786351549,0.19852508691596565,14.52,0.0,0
0.75,0.0,0.0,0.13372460664387598,0.030487551704152314,0.19730389026918693,0.4183688878243478,0.6318273272873122,0.06586270180749915,0.23007486015552803,18.253333333333334,1.0,0
0.75,0.0,0.0,0.11395899949313706,0.04143823348697351,0.19519977361641672,0.4486008550169154,0.6455326102011016,0.06917166121993315,0.2245688942000433,18.633333333333333,2.0,0
