time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id
0.002,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.1829991852274258,0.13204988015310726,0.017325254088950887,0.18299846321936558,-0.13205009232024295,0.01732525899735518,-0.18299985512336167,0.1320502122671585,0.017325255306735704,-0.18300037993400478,-0.13204978658791428,0.017325255298207803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3,0.4,0,0
0.004,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-3.4825266493823144e-06,6.938295237917058e-07,0.3099946321819828,6.281176416347358e-05,4.209301889024353e-05,-1.4463645827080498e-05,0.18299663027552476,0.13204944130869548,0.017326829639800312,0.18299406414564068,-0.13205050329570292,0.017326843462134173,-0.18299963971511832,0.13205079013335924,0.01732683205688265,-0.18300140010864696,-0.1320491959947024,0.01732683204330085,-0.0034823107335721967,0.0006934419809920508,-0.00536800816980586,0.06281206856236282,0.042092564632022246,-0.014464967788577336,0.0034823107335721967,0.0006934419809920508,0.00536800816980586,0.06281206856236282,0.042092564632022246,0.014464967788577336,0.018640720503141583,100.0,3,0.4,0,0
0.006,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-1.334076480924074e-05,1.8871066419900654e-06,0.30997716660268554,0.00019210194247801633,0.00016427237674676576,-5.883586932141636e-05,0.18299232706789076,0.13204863460090988,0.017328409776826564,0.1829871319824987,-0.13205128312876863,0.017328440109689397,-0.1829996476232987,0.13205171136214355,0.017328408314812277,-0.1830030038055225,-0.1320482614931885,0.01732841118652753,-0.006373753470858362,0.0004967482592090588,-0.012098904124519591,0.06648278933004656,0.08008021876633313,-0.029925059333579085,0.006373753470858362,0.0004967482592090588,0.012098904124519591,0.06648278933004656,0.08008021876633313,0.029925059333579085,0.03679556106364651,100.0,3,0.4,0,0
0.008,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-2.9127234226216782e-05,2.9606866177143515e-06,0.3099467307211819,0.00032931990753107076,0.0003552402722752923,-0.00013368169100154436,0.18298638801370587,0.13204757399154604,0.017329997693929178,0.1829781414652509,-0.13205231833427042,0.017330052545104557,-0.18300013608959917,0.13205288081185312,0.017329983467054888,-0.1830052064597763,-0.13204707086054993,0.01732999393248935,-0.009404319540911026,0.0005668340905782709,-0.018341649838166385,0.07075490062761113,0.1108672846729162,-0.04497224955865212,0.009404319540911026,0.0005668340905782709,0.018341649838166385,0.07075490062761113,0.1108672846729162,0.04497224955865212,0.05494340319014142,100.0,3,0.4,0,0
0.01,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-5.0822462156671896e-05,4.084581222688058e-06,0.309904449914256,0.0004520974031118508,0.0005978049869250768,-0.00022998602001379748,0.18297904728623587,0.13204661622093172,0.017331598749113997,0.182967966378127,-0.13205326064376505,0.01733167624811971,-0.18300200233425626,0.13205385828798374,0.017331557649902463,-0.18301094700758888,-0.13204586148859845,0.017331577138793186,-0.012270280884958639,0.0005361091525898454,-0.02395027103773627,0.0520682664556192,0.13165848720614445,-0.05143037642689797,0.012270280884958639,0.0005361091525898454,0.02395027103773627,0.0520682664556192,0.13165848720614445,0.05143037642689797,0.06423676646444645,0.0,3,0.4,0,0
0.012,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-7.412732640847659e-05,4.6897699821306905e-06,0.30984435402241284,0.0005878084836162662,0.0008375066766801442,-0.00031259008322695215,0.1829705071122456,0.13204613214542255,0.017333211499647866,0.18295756381082168,-0.13205372730937354,0.017333309350449272,-0.18300610374361015,0.13205425434168827,0.017333135035964925,-0.18301858480094016,-0.1320452376455117,0.0173331628817541,-0.010990128603116083,3.072508091451295e-05,-0.03616244643612527,0.08370066004057018,0.10800289547161294,-0.031292891849732205,0.010990128603116083,3.072508091451295e-05,0.03616244643612527,0.08370066004057018,0.10800289547161294,0.031292891849732205,0.0423137455337628,0.0,3,0.4,0,0
0.014,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-9.469386837036778e-05,4.2535140655193605e-06,0.30976145473612254,0.0007356356548017465,0.0010238407675235983,-0.00034965444485961374,0.18296083545025807,0.13204625671265613,0.017334837544821652,0.18294732647164877,-0.13205357384940603,0.017334949752155993,-0.1830122904919982,0.13205404473871318,0.017334721904174982,-0.1830255376125367,-0.13204543173147248,0.01733475861150724,-0.009498109693018054,-0.000529415393984621,-0.046755453399915166,0.06415919166853655,0.07830814281411277,-0.005894372098101286,0.009498109693018054,0.000529415393984621,0.046755453399915166,0.06415919166853655,0.07830814281411277,0.005894372098101286,0.01592189718510396,0.0,3,0.4,0,0
0.016,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.00011193983101614836,3.7064174457477483e-06,0.3096587820579466,0.0008737925136243495,0.0011584632366123948,-0.0003350654663739016,0.18295022782210874,0.13204696345679126,0.01733647674204758,0.18293700139976352,-0.13205283675766458,0.017336599381763657,-0.1830201512590164,0.1320533570250722,0.017336321170028174,-0.18303393721558922,-0.1320461009533249,0.017336372719375742,-0.007635001853323071,-0.00010687008109939151,-0.055935407398569295,0.07397982048363218,0.05632776622339486,0.02037718390357865,0.007635001853323071,0.00010687008109939151,0.055935407398569295,0.07397982048363218,0.05632776622339486,0.02037718390357865,0.02811905583800111,0.0,3,0.4,0,0
0.018000000000000002,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.00012575848255206616,3.901208733572349e-06,0.30953770928077073,0.0010519115507791202,0.001251817187813531,-0.00027567244091307864,0.18293847981309136,0.13204796565386637,0.017338129463129376,0.18292605013946653,-0.13205180783384882,0.017338265258942498,-0.1830294212222008,0.13205238836189329,0.017337934134469324,-0.18304355485587723,-0.13204705119786286,0.017338008742270206,-0.006037349485389477,0.0001799825031555342,-0.0651540142275204,0.10406620250593676,0.037084087889964576,0.038929003313155866,0.006037349485389477,0.0001799825031555342,0.0651540142275204,0.10406620250593676,0.037084087889964576,0.038929003313155866,0.045146335301700875,0.0,3,0.4,0,0
0.02,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.00013789688773305756,4.0660980300671364e-06,0.30939892398091967,0.001238248998273406,0.0013283734257596436,-0.00019286731192929738,0.1829253388079168,0.1320489149343962,0.01733980367501531,0.18291383408294534,-0.13205083159966127,0.01733995041651895,-0.183039662306881,0.13205136524139255,0.01733956287865443,-0.1830539995597948,-0.13204805991490445,0.017339657068697445,-0.0059217264582400895,-0.00017767043257001393,-0.07364688740099336,0.08216433485946725,0.039568276563773055,0.0437872688799864,0.0059217264582400895,0.00017767043257001393,0.07364688740099336,0.08216433485946725,0.039568276563773055,0.0437872688799864,0.04988666577079651,0.0,3,0.4,0,0
