time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id
0.002,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.1829982548242803,0.13205008175334468,0.017325255855931393,0.1829982102910603,-0.13204993897414188,0.017325254423025044,-0.18300016471232428,0.13204995837617156,0.017325255071474588,-0.18300027873946081,-0.13205004276898025,0.017325255114365806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3,0.4,0,0
0.004,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-5.295987780862742e-06,2.657295915534552e-07,0.3099912519465568,2.715006120568255e-05,6.147164650149861e-05,5.101137436977715e-06,0.18299322810669255,0.13205026692013894,0.017326839427632135,0.1829928783971774,-0.13204977272831114,0.017326838046899523,-0.1830005509978491,0.13204990882125453,0.017326832955540716,-0.18300108945434898,-0.13205006088700152,0.017326831305078866,-0.005295448658016035,0.0002655190879888656,-0.008748386191736965,0.02714990440941557,0.061471715745560485,0.005100302955575571,0.005295448658016035,0.0002655190879888656,0.008748386191736965,0.02714990440941557,0.061471715745560485,0.005100302955575571,0.010661270701580471,100.0,3,0.4,0,0
0.006,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-2.1057890215812163e-05,1.4840141581844457e-06,0.30996544887146776,0.00011301319446115108,0.00024334197655284662,1.3638741685623297e-05,0.18298502200705966,0.13205056888627628,0.017328440856957505,0.1829841624851981,-0.13204948696468036,0.017328443562546925,-0.18300121334210742,0.13204989002494544,0.017328411985091025,-0.1830024280670461,-0.13205004716924856,0.017328407398368717,-0.01046175114895469,0.0009507699805736252,-0.017057675492544146,0.05871233094715285,0.1203990057838285,0.0034248957599295497,0.01046175114895469,0.0009507699805736252,0.017057675492544146,0.05871233094715285,0.1203990057838285,0.0034248957599295497,0.014837416889457864,100.0,3,0.4,0,0
0.008,0.0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,-4.705099586261299e-05,3.835652805526334e-06,0.30992237721511356,0.0002495433323277116,0.0005388614401766745,2.544282783558459e-05,0.1829737172383367,0.13205106184273072,0.017330070399719427,0.18297228296511464,-0.1320490087257937,0.017330081416183057,-0.1830016666210987,0.13204682034713308,0.017329992376313164,-0.18300437277218662,-0.13205006011275686,0.01732998149490983,-0.015513133776151653,0.0013929843192482107,-0.026025346336264934,0.07781278684278416,0.17512281528883464,0.008324704790850256,0.015513133776151653,0.0013929843192482107,0.026025346336264934,0.07781278684278416,0.17512281528883464,0.008324704790850256,0.02523082288625012,100.0,3,0.4,0,0
0.01,0.0,1,1,1,1,1,0,0,1,0.0,0.0,0.0,-8.290448211971316e-05,7.53997437163879e-06,0.3098619711532945,0.0004348359209527758,0.0009371036118968057,4.543725054037254e-05,0.1829597254239542,0.13205186806206165,0.01733173478886052,0.1829572961702441,-0.13204818953001313,0.017331763587427995,-0.182957203015158,0.13198311831976944,0.017331592208338686,-0.18300726069033935,-0.1320500412588334,0.017331554643573638,-0.020293955123236836,0.002291199210597009,-0.03440945930352118,0.10746488119524424,0.22312617852476702,0.011534894600653314,0.020293955123236836,0.002291199210597009,0.03440945930352118,0.10746488119524424,0.22312617852476702,0.011534894600653314,0.03412004893448716,50.0,3,0.4,0,0
0.012,0.0,1,1,1,1,1,1,0,1,0.0,0.0,0.0,-0.0001278000621456155,1.3935013548165802e-05,0.3097841868849484,0.0007448473659899593,0.0014232017078452674,7.699333000073807e-05,0.1829437698110799,0.13205291472703745,0.017333432314983743,0.18294012340346724,-0.13204712129562313,0.017333492250903,-0.1828673777206127,0.13182153454983422,0.017333283157414836,-0.18301119108089678,-0.13205003620807815,0.017333126717594988,-0.024507185327707008,0.004059343264336991,-0.043432799514192474,0.20250794291002058,0.26299023532493593,0.019751359540235817,0.024507185327707008,0.004059343264336991,0.043432799514192474,0.20250794291002058,0.26299023532493593,0.019751359540235817,0.048317888132279815,25.0,3,0.4,0,0
0.014,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0001790463034942433,2.195200173142383e-05,0.3096909646378933,0.001137153259125094,0.001956414489069802,0.0001184119664305525,0.1829267866582881,0.1320540479051345,0.01733514908001721,0.18292203194465054,-0.13204599987387064,0.017335246217263428,-0.18281619336838734,0.1316148913034173,0.017335049716944773,-0.18301625758617213,-0.13205003359032635,0.017334699490746563,-0.026578957324765423,0.003873622578165504,-0.04988393785661617,0.18972772438113045,0.2702618258984035,0.021160613225641115,0.026578957324765423,0.003873622578165504,0.04988393785661617,0.18972772438113045,0.2702618258984035,0.021160613225641115,0.051613193128572044,0.0,3,0.4,0,0
0.016,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.00023225236960344048,3.0281356351475736e-05,0.3095839514247675,0.0015227802398967035,0.0024815254868819636,0.0001619592679611786,0.1829094257874163,0.13205526763491815,0.017336877160405217,0.18290349993205854,-0.13204478927984648,0.01733701430792514,-0.18282440424111804,0.1314059946948463,0.01733680490221043,-0.18302287937932818,-0.1320500033179934,0.017336276815335255,-0.026386406629138603,0.004319277826460577,-0.057258105750738475,0.1958021486926831,0.254906599406688,0.021692718387756854,0.026386406629138603,0.004319277826460577,0.057258105750738475,0.1958021486926831,0.254906599406688,0.021692718387756854,0.052398402843356034,0.0,3,0.4,0,0
0.018000000000000002,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0002851233438551841,3.942747333700638e-05,0.3094626848560399,0.001933859278218602,0.002963995999229363,0.00020825420808155687,0.18289166879292412,0.13205650669797933,0.017338611129028264,0.18288506555595263,-0.1320435645097313,0.017338785974091525,-0.18286247688794172,0.1312268470787413,0.01733853483656042,-0.18303083329926798,-0.13205002249882541,0.017337862184964026,-0.026150825662870306,0.004625352548590078,-0.06416761883851012,0.21514970876202888,0.22764319656134532,0.02377838892129543,0.026150825662870306,0.004625352548590078,0.06416761883851012,0.21514970876202888,0.22764319656134532,0.02377838892129543,0.05455456713275582,0.0,3,0.4,0,0
0.02,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.00033770037394709353,4.8290942287854976e-05,0.30932869573613714,0.0022782355633977273,0.003391704913386473,0.0002574989543443002,0.18287345485664222,0.13205770670577657,0.017340353614415188,0.18286691284057013,-0.1320423876152692,0.017340548705784775,-0.18291029742566245,0.1310974700238976,0.017340217739329367,-0.18303981587649734,-0.13205004921964866,0.017339456649140828,-0.025996844758147394,0.003966794999707563,-0.0700061535123274,0.1290692494787716,0.20017069604262155,0.024551540676991248,0.025996844758147394,0.003966794999707563,0.0700061535123274,0.1290692494787716,0.20017069604262155,0.024551540676991248,0.054515180434846204,0.0,3,0.4,0,0
