time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,acc_cmd_x,acc_cmd_y,acc_cmd_yaw,base_pos_x,base_pos_y,base_pos_z,base_ang_roll,base_ang_pitch,base_ang_yaw,FL_foot_pos_x,FL_foot_pos_y,FL_foot_pos_z,FR_foot_pos_x,FR_foot_pos_y,FR_foot_pos_z,RL_foot_pos_x,RL_foot_pos_y,RL_foot_pos_z,RR_foot_pos_x,RR_foot_pos_y,RR_foot_pos_z,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,x_vel_err,y_vel_err,z_vel_err,roll_vel_err,pitch_vel_err,yaw_vel_err,cmd_err,cont_err,terr_freq,terr_height,failed,gait_id,base,CoT,musculoskeletal,foot_force,MWE,WEXT,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
0.01,0.0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00017201649919679289,1.0116895700805102e-05,0.3093780183581274,-2.719268034122428e-05,-0.001539224550225038,-0.00024727074443150104,0.18270935032260202,0.13202090456845172,0.017332004500028253,0.18801707658151262,-0.1300653179009743,0.030616860270079677,-0.17806694626629008,0.13023056350244747,0.031182747855306198,-0.18510866679644652,-0.13214331267586837,0.0173364560061762,0.03185287092623784,0.0011457726846774614,-0.1278699903655422,-0.029737855650295634,-0.29965379568534395,-0.02588460573343969,0.03185287092623784,0.0011457726846774614,0.1278699903655422,0.029737855650295634,0.29965379568534395,0.02588460573343969,0.058883249344354995,45.0,3,0.2,0,4,0.04877537317200137,0.0,0.07162728674527001,19.096940873691658,1.024692339807462,35.600960081873566,45.0,0,0,0,0
0.02,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0004962218233736732,6.753282192298016e-06,0.3079144105727943,-0.00010335162219434598,-0.004435638022902033,-0.0005084051333205286,0.1826612280485205,0.13201667021135946,0.01734079121586271,0.19615461745736662,-0.12949181350198133,0.05047778147495249,-0.17314401962702974,0.12953792613722906,0.04768810929259243,-0.18607339603022952,-0.1321525304021376,0.01735037368589934,0.026747561551165786,-0.0002739234427580559,-0.14469509014723098,-0.17432491197120406,-0.14238732296542853,-0.0548641051014339,0.026747561551165786,0.0002739234427580559,0.14469509014723098,0.17432491197120406,0.14238732296542853,0.0548641051014339,0.08188559009535774,0.0,3,0.2,0,4,0.06107917538657487,0.0,0.07615378179712373,48.6489790373676,0.14248001129578503,35.9570639039744,0.0,0.01,0.0,0.0,0.0
0.03,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0007470092480216026,5.1980209696209406e-05,0.30658848183572945,-0.0011403204779412103,-0.004989741430423189,-0.0011425562813240846,0.182597968687143,0.13201352522463677,0.01734995516668522,0.19902512617861862,-0.13044849180471588,0.0693519729771141,-0.17151894212732913,0.13003077742707048,0.06212670550653483,-0.1861465095084664,-0.132141345230541,0.017359461724141323,0.02369279405001937,0.006768730464325316,-0.12153143769208509,-0.03710329506886698,-0.01361751015467445,-0.04104663400243665,0.02369279405001937,0.006768730464325316,0.12153143769208509,0.03710329506886698,0.01361751015467445,0.04104663400243665,0.07150815851678133,0.0,3,0.2,0,4,0.09153905549279996,0.0,0.0831987036873889,90.90706739178779,0.1309865553292311,35.68290974905027,0.0,0,0,0,0
0.04,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0009116795528862226,9.663910955961028e-05,0.3055215413826632,-0.00116168955953621,-0.004622661000263761,-0.0014015327000460977,0.18253408623673267,0.13201347558292545,0.017358748077050262,0.19741530440547742,-0.13180534323266196,0.08255325324256639,-0.17114113849464976,0.13066351568927184,0.07134094477635211,-0.18619984801599224,-0.1321356934250222,0.017367915751606566,0.009478730901206052,0.0036723615400229364,-0.0948432879231333,0.033228903046447565,0.07285526288473881,-0.022294377622621146,0.009478730901206052,0.0036723615400229364,0.0948432879231333,0.033228903046447565,0.07285526288473881,0.022294377622621146,0.03544547006385013,0.0,3,0.2,0,4,0.04280178209935835,0.0,0.06736929911789101,52.83225258251023,0.3329603950658189,35.28075423368849,0.0,0,0,0,0
0.05,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.000986999229093818,0.00015218609856826527,0.3046512693257283,-0.0005387451011200119,-0.0038237917307346603,-0.001538869373102845,0.18247400449596987,0.1320166588301277,0.017367255154084632,0.19446158907688357,-0.13273180601715526,0.09045104244930079,-0.17121586913398748,0.13127385855029108,0.07728428011481212,-0.18624291860478553,-0.13213031318268653,0.017376052201130254,0.004515355268265226,0.007460712304642511,-0.07849530967794924,0.09537195626440528,0.09264900076389389,0.0001588658864199843,0.004515355268265226,0.007460712304642511,0.07849530967794924,0.09537195626440528,0.09264900076389389,0.0001588658864199843,0.012134933459327722,0.0,3,0.2,0,4,0.0241618136354922,0.0,0.07010671343499644,72.79888868450527,0.09458523097771365,35.00954154177765,0.0,0,0,0,0
0.06,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010290293451050022,0.00023256391355518897,0.3039216140706089,0.000979714444181476,-0.003047811751170748,-0.0013956104818345723,0.1824215608157683,0.13202434802090526,0.01737551870681983,0.19079988378227422,-0.13319409294295406,0.09439392427232615,-0.17145583978923015,0.1317421570147474,0.08031742021295883,-0.1862819420070838,-0.13212652184499454,0.01738407678069878,0.004251864125173516,0.009182491617663564,-0.07060515621714715,0.21777674100427066,0.06919838733453072,0.015086421598639052,0.004251864125173516,0.009182491617663564,0.07060515621714715,0.21777674100427066,0.06919838733453072,0.015086421598639052,0.02852077734147613,0.0,3,0.2,0,4,0.027936721094818606,0.0,0.06623295363757156,47.12831282873039,0.03523234207902623,34.854046572297335,0.0,0,0,0,0
0.07,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.001082066596866791,0.0003485972219174575,0.30324412326434097,0.0034688570147639393,-0.002295490466294181,-0.00128684658307461,0.18237525175116293,0.13203377061396543,0.017383664886047867,0.18676388256421783,-0.13330719874048108,0.0959973381085894,-0.17184109364588218,0.1315203664845315,0.08192282477190548,-0.186317651935224,-0.13212004237425334,0.017392055583744376,0.006198944880468056,0.011494893351509656,-0.06454854304386115,0.13143880184144635,0.05698918606450265,0.016936939030657704,0.006198944880468056,0.011494893351509656,0.06454854304386115,0.13143880184144635,0.05698918606450265,0.016936939030657704,0.034630777262635415,0.0,3,0.2,0,4,0.02787620581054262,0.0,0.06342274040726384,70.42650235477856,0.03583927407763207,34.76888090601384,0.0,0,0,0,0
0.08,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011568440229678169,0.00046484748664362503,0.3026300878890113,0.004090466506555281,-0.0020602991964238093,-0.0010766031069222178,0.18233536029881223,0.1320440166757869,0.017391704813943476,0.18236424715016658,-0.1334082444163871,0.09450475578626576,-0.17337527913606032,0.1316306909509658,0.08091272345891268,-0.18634859639161885,-0.13211418282475393,0.01739997739344923,0.00819194537447403,0.013068930252333475,-0.058852851736843466,0.046086647077781005,0.005770451182172824,0.008309619671499693,0.00819194537447403,0.013068930252333475,0.058852851736843466,0.046086647077781005,0.005770451182172824,0.008309619671499693,0.0295704952983072,0.0,3,0.2,0,4,0.03916074096193618,0.0,0.06455506622530871,47.897091645770274,0.05666611465957162,34.692234962333664,0.0,0,0,0,0
0.09,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011864003407885191,0.0005895748849885461,0.3021868164523631,0.0036359468857888036,-0.0015706249393228067,-0.0009264354657045575,0.1822935378133298,0.13205367393939627,0.01739965190832396,0.17789487457711853,-0.13343377577351717,0.08864132951916144,-0.1749431259496868,0.13220650444167828,0.07613103016529493,-0.18635848913905353,-0.13210857052983455,0.01740770543697745,-0.006114370824527872,0.009188933027215246,-0.025694170912432784,-0.23522397956335275,0.11981355122893836,0.018549905656125493,0.006114370824527872,0.009188933027215246,0.025694170912432784,0.23522397956335275,0.11981355122893836,0.018549905656125493,0.03385320950786861,0.0,3,0.2,0,4,0.032419038754437045,0.0,0.07115553036649087,80.72883828720282,0.12206333071730836,34.66083894914114,0.0,0,0,0,0
0.1,0.0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010382853028570653,0.000663230601795235,0.3021533444658047,-0.00028172304746548304,0.0004781616303792813,-0.0008758118445137393,0.18223945481379972,0.13205846630017112,0.01740759003097353,0.17470168883371348,-0.13382419571175527,0.07890448938671357,-0.17549965457484204,0.13200720017634662,0.06853272142379804,-0.1863224140952726,-0.13210412683162925,0.017415729847390732,-0.02463669359069884,0.007090372987225887,0.021821346532984547,-0.48382493278469446,0.32008023222645904,0.005866596647198738,0.02463669359069884,0.007090372987225887,0.021821346532984547,0.48382493278469446,0.32008023222645904,0.005866596647198738,0.03759366322512347,0.0,3,0.2,0,4,0.028505504083875942,0.0,0.08452093255702649,61.869783219731346,0.15066366119817623,34.701112974001816,0.0,0,0,0,0
