"Velocity","CV"
0.446105834174262,9.43791946308725
0.49213798700432,7.71812080536913
0.536707191405979,8.01174496644295
0.581214994687468,7.34060402684564
0.627426011650195,8.43120805369128
0.670302680826299,7.13087248322148
0.716462975124538,7.4244966442953
0.761096250260287,8.7248322147651
0.805604053541777,8.05369127516779
0.850242667905368,9.43791946308725
0.896376266064402,9.31208053691275
0.941014880427993,10.6963087248322
0.985477300272835,9.31208053691275
1.02852215512593,10.6543624161074
1.07305131531878,10.3187919463087
1.11936377761048,13.003355704698
1.16551339345304,13.1291946308725
1.20873444282488,17.239932885906
1.2528418040183,10.2768456375839
1.30064124126369,11.3255033557047
1.34668407254943,9.77348993288591
1.38797232144287,8.51510067114094
1.43253351700277,8.68288590604027
1.47702263298682,7.71812080536913
1.52320428419642,8.34731543624161
1.56796303118643,11.6191275167785
1.61253223558809,11.9127516778524
