time,trans_flag,des_cont_state_fl,des_cont_state_fr,des_cont_state_rl,des_cont_state_rr,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,vel_cmd_x,vel_cmd_y,vel_cmd_yaw,base_vel_x,base_vel_y,base_vel_z,base_vel_roll,base_vel_pitch,base_vel_yaw,gait_id,base,CoT,musculoskeletal,foot_force,MWE,WEXT,stability,FL_stride_t,FR_stride_t,RL_stride_t,RR_stride_t
0.021999999999934516,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.00623349220952939,-0.004508747866321505,-0.0009143938347408238,0.010046904906630509,0.005906656850129363,0.003689102362841365,0,0.002886268487738452,0.0,0.012717507102272731,34.37999999999998,3.5111563080292574,6.938098265589302,0.0,0,0,0,0
0.03000000000020009,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.001418547685344468,-0.006837705460351426,-0.0003062488747479893,0.001447994329306185,0.001184330763655349,0.005651576667689542,0,0.013936832564117946,0.0,0.06405826332667129,171.68438865429462,0.0011557599232832367,34.68953091103345,0.0,0,0,0,0
0.03999999999996362,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0054382320193627435,-0.009069529184711732,0.030236569437959195,0.01837543043868399,0.019452946035914097,0.005207891057069285,0,0.015016709465783203,0.0,0.11191414117695733,171.71630972227481,0.038035139743557184,34.703566029736244,0.0,0,0,0,0
0.0500000000001819,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.019350522511302096,0.003812639426380264,0.05986718847715922,0.13113885663702415,0.08930247078278897,0.0148145688631123,0,0.03307588133382511,0.0,0.1342265285387362,184.7028827945523,0.09935292273026405,34.797492909127776,0.0,0,0,0,0
0.05999999999994543,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0002359260907841718,-0.004705261010184495,0.05256430398557368,0.07214825807169685,0.06681656459290311,0.02366901545870506,0,0.029369316710166515,0.0,0.11904129599788973,192.549380042809,0.04088610601168418,34.85851778620283,0.0,0,0,0,0
0.07000000000016371,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.007510154784125168,-0.009443505785966337,0.049579390484651535,-0.01494129971488861,0.09850406315995952,0.0166200150857911,0,0.035111066306211226,0.0,0.11989827536259592,178.17316080702685,0.0473725292152657,34.900454354597755,0.0,0,0,0,0
0.07999999999992724,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.005943010894019323,-0.008224631391804472,0.04684078334139738,0.012684995271466507,0.09801069857595973,0.026440857393542162,0,0.036581395676526005,0.0,0.13040844789235942,171.14302129207988,0.070127695618932,34.96478256498674,0.0,0,0,0,0
0.09000000000014552,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0001742059597822408,-0.009537486123333036,0.04820033158542233,-0.03559557098791345,0.061619024395181264,0.027892539364874177,0,0.03930802006909121,0.0,0.1264473423349842,169.38782293871995,0.0659990430093311,35.03439039304588,0.0,0,0,0,0
0.09999999999990905,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0018353805121176406,-0.008693094786347163,0.042371514024600945,-0.03342179369337091,0.031095740678221247,0.015237588162660673,0,0.03243449488645758,0.0,0.1251086272674033,166.86000681068833,0.06225402581628628,35.096334285247615,0.0,0,0,0,0
0.11000000000012733,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0013441693296638664,-0.008992267496593574,0.03275087738879598,-0.04575293952275067,0.02835110588889414,0.005319696550156969,0,0.01946748387685786,0.0,0.12606797617757537,164.75340747397257,0.0416453601865365,35.140199973834754,0.0,0,0,0,0
0.11999999999989086,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0010069209809847129,-0.008647179258026695,0.02730432143015277,-0.06126246685318722,0.010147556515491893,0.004553277498777789,0,0.012816472359764236,0.0,0.12559250890764256,163.41630024236707,0.03488979765314986,35.17678507457951,0.0,0,0,0,0
0.13000000000010914,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.004399144435586481,-0.00912576781483142,0.020464433750725177,-0.07616568185418938,0.028225107974309844,0.009427334760525421,0,0.019061733579322296,0.0,0.12417412935922571,164.3824710468035,0.025781380104914625,35.20720990718164,0.0,0,0,0,0
0.13999999999987267,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.0059196826420043576,-0.008915575089288558,0.01856253463398849,-0.08364780069718573,0.04714256987639487,0.01688316230257301,0,0.02833335007768384,0.0,0.12552098589928307,165.4436850327865,0.02325746706397743,35.23241383887556,0.0,0,0,0,0
0.15000000000009095,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.008724552972147971,-0.009314637670206117,0.01656433859127321,-0.09183141514550786,0.06495867291422379,0.014713346506877754,0,0.03405608211616976,0.0,0.12734256720630227,166.60003657874637,0.01772264781491901,35.254464247254404,0.0,0,0,0,0
0.16000000000030923,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.01088503624828762,-0.01009346104384537,0.017363860911288012,-0.06847497136828457,0.0602907853458607,0.015359764368312444,0,0.03405342176535562,0.0,0.1291647349365667,167.5161122388039,0.01806446501027644,35.27099796487313,0.0,0,0,0,0
0.17000000000007276,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,-0.012111700971763652,-0.013578901944141183,0.01947384889784136,-0.050184345827979635,0.04913090644113785,0.011532238372833944,0,0.03683468570477262,0.0,0.1302462632069548,168.2732336521327,0.023192258159072075,35.293451816330915,0.0,0,0,0,0
